12:57:44:973 [ALWAYS]	GUDE Logging Started
12:57:44:975 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:57:44:975 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:57:44:975 [ERROR]	Initialize resume cache pointer failure
12:57:44:975 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
12:57:44:976 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
12:57:49:248 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
12:57:49:248 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:57:49:248 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:57:49:248 [ERROR]	Initialize resume cache pointer failure
12:57:49:248 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
12:57:49:248 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
